Filename,emotion-ferplus-8.onnx,emotion.onnx,emotion_cnn.onnx
angry001.jpg,Neutral (95.43%),Neutral (100.00%),Anger (100.00%)
angry_001.jpg,Neutral (57.47%),Neutral (100.00%),Anger (100.00%)
angry_002.jpg,Neutral (55.41%),Neutral (100.00%),Anger (100.00%)
angry_003.jpg,Neutral (29.76%),Neutral (100.00%),Anger (100.00%)
angry_004.jpg,Neutral (90.45%),Neutral (100.00%),Anger (100.00%)
angry_005.jpg,Happiness (97.87%),Neutral (100.00%),Anger (100.00%)
angry_006.jpg,Neutral (59.89%),Neutral (100.00%),Anger (100.00%)
angry_008.jpg,Neutral (77.62%),Neutral (100.00%),Anger (100.00%)
angry_009.jpg,Neutral (66.46%),Neutral (100.00%),Anger (100.00%)
angry_010.jpg,Neutral (38.69%),Neutral (100.00%),Anger (100.00%)
angry_011.jpg,Anger (85.61%),Happiness (100.00%),Anger (100.00%)
angry_012.jpg,Neutral (92.60%),Neutral (100.00%),Anger (100.00%)
angry_013.jpg,Happiness (84.99%),Disgust (100.00%),Anger (100.00%)
angry_014.jpg,Happiness (45.49%),Neutral (100.00%),Anger (100.00%)
angry_015.jpg,Neutral (46.32%),Neutral (100.00%),Anger (100.00%)
angry_016.jpg,Neutral (77.49%),Neutral (100.00%),Anger (100.00%)
angry_017.jpg,Happiness (72.80%),Neutral (100.00%),Happiness (100.00%)
angry_018.jpg,Neutral (42.13%),Neutral (100.00%),Anger (100.00%)
angry_019.jpg,Happiness (80.22%),Neutral (100.00%),Anger (100.00%)
angry_020.jpg,Neutral (47.61%),Neutral (100.00%),Anger (100.00%)
angry_021.jpg,Neutral (44.68%),Neutral (100.00%),Anger (100.00%)
angry_022.jpg,Anger (99.54%),Anger (100.00%),Anger (100.00%)
angry_023.jpg,Sadness (52.02%),Neutral (100.00%),Anger (100.00%)
angry_024.jpg,Anger (36.18%),Neutral (100.00%),Anger (100.00%)
angry_025.jpg,Neutral (58.20%),Neutral (100.00%),Anger (100.00%)
angry_026.jpg,Sadness (48.22%),Neutral (100.00%),Anger (100.00%)
angry_027.jpg,Anger (59.74%),Neutral (100.00%),Anger (100.00%)
angry_028.jpg,Sadness (50.13%),Neutral (100.00%),Anger (100.00%)
angry_029.jpg,Anger (54.97%),Neutral (100.00%),Anger (100.00%)
angry_030.jpg,Neutral (92.56%),Neutral (100.00%),Neutral (100.00%)
angry_031.jpg,Neutral (83.62%),Neutral (100.00%),Anger (100.00%)
angry_032.jpg,Anger (49.59%),Neutral (100.00%),Anger (100.00%)
angry_033.jpg,Anger (61.03%),Neutral (100.00%),Anger (100.00%)
angry_034.jpg,Sadness (39.08%),Happiness (100.00%),Anger (100.00%)
angry_035.jpg,Surprise (46.15%),Neutral (100.00%),Anger (100.00%)
angry_036.jpg,Neutral (87.20%),Neutral (100.00%),Anger (100.00%)
angry_037.jpg,Neutral (86.85%),Neutral (100.00%),Anger (100.00%)
angry_039.jpg,Happiness (95.65%),Anger (100.00%),Anger (100.00%)
angry_040.jpg,Neutral (69.57%),Neutral (100.00%),Anger (100.00%)
angry_041.jpg,Neutral (61.02%),Neutral (100.00%),Anger (100.00%)
angry_042.jpg,Neutral (51.59%),Neutral (100.00%),Anger (100.00%)
angry_043.jpg,Neutral (93.21%),Neutral (100.00%),Anger (100.00%)
angry_044.jpg,Happiness (60.11%),Neutral (100.00%),Anger (100.00%)
angry_045.jpg,Neutral (90.09%),Neutral (100.00%),Anger (100.00%)
angry_046.jpg,Happiness (97.16%),Neutral (100.00%),Anger (100.00%)
angry_047.jpg,Neutral (65.96%),Neutral (100.00%),Anger (100.00%)
angry_048.jpg,Happiness (81.04%),Neutral (100.00%),Anger (100.00%)
angry_049.jpg,Anger (70.15%),Disgust (100.00%),Anger (100.00%)
angry_050.jpg,Happiness (85.76%),Neutral (100.00%),Anger (100.00%)
disgust_001.jpg,Neutral (93.21%),Neutral (100.00%),Anger (100.00%)
disgust_002.jpg,Neutral (81.32%),Neutral (100.00%),Anger (100.00%)
disgust_003.jpg,Happiness (70.44%),Neutral (100.00%),Anger (100.00%)
disgust_004.jpg,Neutral (91.47%),Neutral (100.00%),Anger (100.00%)
fear_002.jpg,Neutral (84.40%),Neutral (100.00%),Anger (100.00%)
fear_005.jpg,Neutral (74.84%),Neutral (100.00%),Anger (100.00%)
fear_007.jpg,Neutral (78.82%),Neutral (100.00%),Anger (100.00%)
